time,geo,Seasonal adjustment,Prices,North American Industry Classification System (NAICS),values,na_item,Type of fuel
2016-07-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,"Mining, quarrying, and oil and gas extraction",97514,VAMiningAndOil,NA
2016-10-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,"Mining, quarrying, and oil and gas extraction",101717,VAMiningAndOil,NA
2017-01-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,"Mining, quarrying, and oil and gas extraction",104185,VAMiningAndOil,NA
2017-04-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,"Mining, quarrying, and oil and gas extraction",105843,VAMiningAndOil,NA
2017-07-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,"Mining, quarrying, and oil and gas extraction",105946,VAMiningAndOil,NA
2017-10-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,"Mining, quarrying, and oil and gas extraction",103425,VAMiningAndOil,NA
2018-01-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,"Mining, quarrying, and oil and gas extraction",108253,VAMiningAndOil,NA
2018-04-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,"Mining, quarrying, and oil and gas extraction",109784,VAMiningAndOil,NA
2018-07-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,"Mining, quarrying, and oil and gas extraction",110508,VAMiningAndOil,NA
2018-10-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,"Mining, quarrying, and oil and gas extraction",109439,VAMiningAndOil,NA
2019-01-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,"Mining, quarrying, and oil and gas extraction",105127,VAMiningAndOil,NA
2019-04-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,"Mining, quarrying, and oil and gas extraction",113264,VAMiningAndOil,NA
2019-07-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,"Mining, quarrying, and oil and gas extraction",108259,VAMiningAndOil,NA
2019-10-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,"Mining, quarrying, and oil and gas extraction",107397,VAMiningAndOil,NA
